Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
Hodoš/Hodos;1 soba;Število oseb -SKUPAJ;4
Hodoš/Hodos;1 soba;1 oseba;4
Hodoš/Hodos;1 soba;2 osebi;0
Hodoš/Hodos;1 soba;3 osebe;0
Hodoš/Hodos;1 soba;4 osebe;0
Hodoš/Hodos;1 soba;5 oseb;0
Hodoš/Hodos;1 soba;6 oseb;0
Hodoš/Hodos;1 soba;7 oseb ali veè;0
Hodoš/Hodos;2 sobi;Število oseb -SKUPAJ;22
Hodoš/Hodos;2 sobi;1 oseba;7
Hodoš/Hodos;2 sobi;2 osebi;5
Hodoš/Hodos;2 sobi;3 osebe;4
Hodoš/Hodos;2 sobi;4 osebe;2
Hodoš/Hodos;2 sobi;5 oseb;2
Hodoš/Hodos;2 sobi;6 oseb;1
Hodoš/Hodos;2 sobi;7 oseb ali veè;1
Hodoš/Hodos;3 sobe;Število oseb -SKUPAJ;32
Hodoš/Hodos;3 sobe;1 oseba;8
Hodoš/Hodos;3 sobe;2 osebi;11
Hodoš/Hodos;3 sobe;3 osebe;3
Hodoš/Hodos;3 sobe;4 osebe;2
Hodoš/Hodos;3 sobe;5 oseb;2
Hodoš/Hodos;3 sobe;6 oseb;3
Hodoš/Hodos;3 sobe;7 oseb ali veè;3
Hodoš/Hodos;4 sobe;Število oseb -SKUPAJ;17
Hodoš/Hodos;4 sobe;1 oseba;1
Hodoš/Hodos;4 sobe;2 osebi;5
Hodoš/Hodos;4 sobe;3 osebe;3
Hodoš/Hodos;4 sobe;4 osebe;6
Hodoš/Hodos;4 sobe;5 oseb;1
Hodoš/Hodos;4 sobe;6 oseb;0
Hodoš/Hodos;4 sobe;7 oseb ali veè;1
Hodoš/Hodos;5 sob ali veè;Število oseb -SKUPAJ;19
Hodoš/Hodos;5 sob ali veè;1 oseba;2
Hodoš/Hodos;5 sob ali veè;2 osebi;3
Hodoš/Hodos;5 sob ali veè;3 osebe;2
Hodoš/Hodos;5 sob ali veè;4 osebe;3
Hodoš/Hodos;5 sob ali veè;5 oseb;4
Hodoš/Hodos;5 sob ali veè;6 oseb;3
Hodoš/Hodos;5 sob ali veè;7 oseb ali veè;2
Horjul;Število sob - SKUPAJ;Število oseb -SKUPAJ;761
Horjul;Število sob - SKUPAJ;1 oseba;123
Horjul;Število sob - SKUPAJ;2 osebi;128
Horjul;Število sob - SKUPAJ;3 osebe;110
Horjul;Število sob - SKUPAJ;4 osebe;162
Horjul;Število sob - SKUPAJ;5 oseb;109
Horjul;Število sob - SKUPAJ;6 oseb;65
Horjul;Število sob - SKUPAJ;7 oseb ali veè;64
Horjul;1 soba;Število oseb -SKUPAJ;21
Horjul;1 soba;1 oseba;9
Horjul;1 soba;2 osebi;8
Horjul;1 soba;3 osebe;1
Horjul;1 soba;4 osebe;2
Horjul;1 soba;5 oseb;0
Horjul;1 soba;6 oseb;1
Horjul;1 soba;7 oseb ali veè;0
Horjul;2 sobi;Število oseb -SKUPAJ;90
Horjul;2 sobi;1 oseba;39
Horjul;2 sobi;2 osebi;23
Horjul;2 sobi;3 osebe;6
Horjul;2 sobi;4 osebe;9
Horjul;2 sobi;5 oseb;5
Horjul;2 sobi;6 oseb;2
Horjul;2 sobi;7 oseb ali veè;6
Horjul;3 sobe;Število oseb -SKUPAJ;161
Horjul;3 sobe;1 oseba;35
Horjul;3 sobe;2 osebi;30
Horjul;3 sobe;3 osebe;32
Horjul;3 sobe;4 osebe;35
Horjul;3 sobe;5 oseb;16
Horjul;3 sobe;6 oseb;7
Horjul;3 sobe;7 oseb ali veè;6
Horjul;4 sobe;Število oseb -SKUPAJ;207
Horjul;4 sobe;1 oseba;20
Horjul;4 sobe;2 osebi;32
Horjul;4 sobe;3 osebe;37
Horjul;4 sobe;4 osebe;60
Horjul;4 sobe;5 oseb;28
Horjul;4 sobe;6 oseb;16
Horjul;4 sobe;7 oseb ali veè;14
Horjul;5 sob ali veè;Število oseb -SKUPAJ;282
Horjul;5 sob ali veè;1 oseba;20
Horjul;5 sob ali veè;2 osebi;35
Horjul;5 sob ali veè;3 osebe;34
Horjul;5 sob ali veè;4 osebe;56
Horjul;5 sob ali veè;5 oseb;60
Horjul;5 sob ali veè;6 oseb;39
Horjul;5 sob ali veè;7 oseb ali veè;38
Hrastnik;Število sob - SKUPAJ;Število oseb -SKUPAJ;3491
Hrastnik;Število sob - SKUPAJ;1 oseba;887
Hrastnik;Število sob - SKUPAJ;2 osebi;1012
Hrastnik;Število sob - SKUPAJ;3 osebe;718
Hrastnik;Število sob - SKUPAJ;4 osebe;481
Hrastnik;Število sob - SKUPAJ;5 oseb;209
Hrastnik;Število sob - SKUPAJ;6 oseb;107
Hrastnik;Število sob - SKUPAJ;7 oseb ali veè;77
Hrastnik;1 soba;Število oseb -SKUPAJ;668
Hrastnik;1 soba;1 oseba;322
Hrastnik;1 soba;2 osebi;183
Hrastnik;1 soba;3 osebe;93
Hrastnik;1 soba;4 osebe;47
Hrastnik;1 soba;5 oseb;14
Hrastnik;1 soba;6 oseb;6
Hrastnik;1 soba;7 oseb ali veè;3
Hrastnik;2 sobi;Število oseb -SKUPAJ;1184
Hrastnik;2 sobi;1 oseba;318
Hrastnik;2 sobi;2 osebi;390
Hrastnik;2 sobi;3 osebe;279
Hrastnik;2 sobi;4 osebe;132
Hrastnik;2 sobi;5 oseb;40
Hrastnik;2 sobi;6 oseb;12
Hrastnik;2 sobi;7 oseb ali veè;13
Hrastnik;3 sobe;Število oseb -SKUPAJ;925
Hrastnik;3 sobe;1 oseba;178
Hrastnik;3 sobe;2 osebi;295
Hrastnik;3 sobe;3 osebe;204
Hrastnik;3 sobe;4 osebe;155
Hrastnik;3 sobe;5 oseb;55
Hrastnik;3 sobe;6 oseb;19
Hrastnik;3 sobe;7 oseb ali veè;19
Hrastnik;4 sobe;Število oseb -SKUPAJ;315
Hrastnik;4 sobe;1 oseba;36
Hrastnik;4 sobe;2 osebi;82
Hrastnik;4 sobe;3 osebe;70
Hrastnik;4 sobe;4 osebe;68
Hrastnik;4 sobe;5 oseb;35
Hrastnik;4 sobe;6 oseb;18
Hrastnik;4 sobe;7 oseb ali veè;6
Hrastnik;5 sob ali veè;Število oseb -SKUPAJ;399
Hrastnik;5 sob ali veè;1 oseba;33
Hrastnik;5 sob ali veè;2 osebi;62
Hrastnik;5 sob ali veè;3 osebe;72
Hrastnik;5 sob ali veè;4 osebe;79
Hrastnik;5 sob ali veè;5 oseb;65
Hrastnik;5 sob ali veè;6 oseb;52
Hrastnik;5 sob ali veè;7 oseb ali veè;36
Hrpelje - Kozina;Število sob - SKUPAJ;Število oseb -SKUPAJ;1517
Hrpelje - Kozina;Število sob - SKUPAJ;1 oseba;372
Hrpelje - Kozina;Število sob - SKUPAJ;2 osebi;383
Hrpelje - Kozina;Število sob - SKUPAJ;3 osebe;293
Hrpelje - Kozina;Število sob - SKUPAJ;4 osebe;244
Hrpelje - Kozina;Število sob - SKUPAJ;5 oseb;110
Hrpelje - Kozina;Število sob - SKUPAJ;6 oseb;68
Hrpelje - Kozina;Število sob - SKUPAJ;7 oseb ali veè;47
Hrpelje - Kozina;1 soba;Število oseb -SKUPAJ;88
Hrpelje - Kozina;1 soba;1 oseba;45
Hrpelje - Kozina;1 soba;2 osebi;16
Hrpelje - Kozina;1 soba;3 osebe;13
Hrpelje - Kozina;1 soba;4 osebe;6
Hrpelje - Kozina;1 soba;5 oseb;8
Hrpelje - Kozina;1 soba;6 oseb;0
Hrpelje - Kozina;1 soba;7 oseb ali veè;0
Hrpelje - Kozina;2 sobi;Število oseb -SKUPAJ;348
Hrpelje - Kozina;2 sobi;1 oseba;105
Hrpelje - Kozina;2 sobi;2 osebi;96
Hrpelje - Kozina;2 sobi;3 osebe;67
Hrpelje - Kozina;2 sobi;4 osebe;48
Hrpelje - Kozina;2 sobi;5 oseb;17
Hrpelje - Kozina;2 sobi;6 oseb;10
Hrpelje - Kozina;2 sobi;7 oseb ali veè;5
Hrpelje - Kozina;3 sobe;Število oseb -SKUPAJ;495
Hrpelje - Kozina;3 sobe;1 oseba;121
Hrpelje - Kozina;3 sobe;2 osebi;140
Hrpelje - Kozina;3 sobe;3 osebe;108
Hrpelje - Kozina;3 sobe;4 osebe;66
Hrpelje - Kozina;3 sobe;5 oseb;29
Hrpelje - Kozina;3 sobe;6 oseb;22
Hrpelje - Kozina;3 sobe;7 oseb ali veè;9
Hrpelje - Kozina;4 sobe;Število oseb -SKUPAJ;350
Hrpelje - Kozina;4 sobe;1 oseba;69
Hrpelje - Kozina;4 sobe;2 osebi;87
Hrpelje - Kozina;4 sobe;3 osebe;62
Hrpelje - Kozina;4 sobe;4 osebe;74
Hrpelje - Kozina;4 sobe;5 oseb;27
Hrpelje - Kozina;4 sobe;6 oseb;16
Hrpelje - Kozina;4 sobe;7 oseb ali veè;15
Hrpelje - Kozina;5 sob ali veè;Število oseb -SKUPAJ;236
Hrpelje - Kozina;5 sob ali veè;1 oseba;32
Hrpelje - Kozina;5 sob ali veè;2 osebi;44
Hrpelje - Kozina;5 sob ali veè;3 osebe;43
Hrpelje - Kozina;5 sob ali veè;4 osebe;50
Hrpelje - Kozina;5 sob ali veè;5 oseb;29
Hrpelje - Kozina;5 sob ali veè;6 oseb;20
Hrpelje - Kozina;5 sob ali veè;7 oseb ali veè;18
Idrija;Število sob - SKUPAJ;Število oseb -SKUPAJ;3975
Idrija;Število sob - SKUPAJ;1 oseba;1029
Idrija;Število sob - SKUPAJ;2 osebi;918
Idrija;Število sob - SKUPAJ;3 osebe;719
Idrija;Število sob - SKUPAJ;4 osebe;668
Idrija;Število sob - SKUPAJ;5 oseb;340
Idrija;Število sob - SKUPAJ;6 oseb;165
Idrija;Število sob - SKUPAJ;7 oseb ali veè;136
Idrija;1 soba;Število oseb -SKUPAJ;274
Idrija;1 soba;1 oseba;146
Idrija;1 soba;2 osebi;55
Idrija;1 soba;3 osebe;36
Idrija;1 soba;4 osebe;24
Idrija;1 soba;5 oseb;7
Idrija;1 soba;6 oseb;6
Idrija;1 soba;7 oseb ali veè;0
Idrija;2 sobi;Število oseb -SKUPAJ;846
Idrija;2 sobi;1 oseba;342
Idrija;2 sobi;2 osebi;205
Idrija;2 sobi;3 osebe;144
Idrija;2 sobi;4 osebe;100
Idrija;2 sobi;5 oseb;34
Idrija;2 sobi;6 oseb;15
Idrija;2 sobi;7 oseb ali veè;6
Idrija;3 sobe;Število oseb -SKUPAJ;1371
Idrija;3 sobe;1 oseba;349
Idrija;3 sobe;2 osebi;397
Idrija;3 sobe;3 osebe;264
Idrija;3 sobe;4 osebe;230
Idrija;3 sobe;5 oseb;89
Idrija;3 sobe;6 oseb;24
Idrija;3 sobe;7 oseb ali veè;18
Idrija;4 sobe;Število oseb -SKUPAJ;690
Idrija;4 sobe;1 oseba;120
Idrija;4 sobe;2 osebi;157
Idrija;4 sobe;3 osebe;138
Idrija;4 sobe;4 osebe;145
Idrija;4 sobe;5 oseb;73
Idrija;4 sobe;6 oseb;31
Idrija;4 sobe;7 oseb ali veè;26
Idrija;5 sob ali veè;Število oseb -SKUPAJ;794
Idrija;5 sob ali veè;1 oseba;72
Idrija;5 sob ali veè;2 osebi;104
Idrija;5 sob ali veè;3 osebe;137
Idrija;5 sob ali veè;4 osebe;169
Idrija;5 sob ali veè;5 oseb;137
Idrija;5 sob ali veè;6 oseb;89
Idrija;5 sob ali veè;7 oseb ali veè;86
Ig;Število sob - SKUPAJ;Število oseb -SKUPAJ;2081
Ig;Število sob - SKUPAJ;1 oseba;392
Ig;Število sob - SKUPAJ;2 osebi;438
Ig;Število sob - SKUPAJ;3 osebe;394
Ig;Število sob - SKUPAJ;4 osebe;365
Ig;Število sob - SKUPAJ;5 oseb;225
Ig;Število sob - SKUPAJ;6 oseb;154
Ig;Število sob - SKUPAJ;7 oseb ali veè;113
Ig;1 soba;Število oseb -SKUPAJ;151
Ig;1 soba;1 oseba;63
Ig;1 soba;2 osebi;38
Ig;1 soba;3 osebe;27
Ig;1 soba;4 osebe;9
Ig;1 soba;5 oseb;8
Ig;1 soba;6 oseb;1
Ig;1 soba;7 oseb ali veè;5
Ig;2 sobi;Število oseb -SKUPAJ;409
Ig;2 sobi;1 oseba;112
Ig;2 sobi;2 osebi;121
Ig;2 sobi;3 osebe;74
Ig;2 sobi;4 osebe;62
Ig;2 sobi;5 oseb;17
Ig;2 sobi;6 oseb;9
Ig;2 sobi;7 oseb ali veè;14
Ig;3 sobe;Število oseb -SKUPAJ;501
Ig;3 sobe;1 oseba;106
Ig;3 sobe;2 osebi;121
Ig;3 sobe;3 osebe;90
Ig;3 sobe;4 osebe;89
Ig;3 sobe;5 oseb;50
Ig;3 sobe;6 oseb;27
Ig;3 sobe;7 oseb ali veè;18
Ig;4 sobe;Število oseb -SKUPAJ;431
Ig;4 sobe;1 oseba;55
Ig;4 sobe;2 osebi;87
Ig;4 sobe;3 osebe;97
Ig;4 sobe;4 osebe;89
Ig;4 sobe;5 oseb;50
Ig;4 sobe;6 oseb;34
Ig;4 sobe;7 oseb ali veè;19
Ig;5 sob ali veè;Število oseb -SKUPAJ;589
Ig;5 sob ali veè;1 oseba;56
Ig;5 sob ali veè;2 osebi;71
Ig;5 sob ali veè;3 osebe;106
Ig;5 sob ali veè;4 osebe;116
Ig;5 sob ali veè;5 oseb;100
Ig;5 sob ali veè;6 oseb;83
Ig;5 sob ali veè;7 oseb ali veè;57
Ilirska Bistrica;Število sob - SKUPAJ;Število oseb -SKUPAJ;4665
Ilirska Bistrica;Število sob - SKUPAJ;1 oseba;1145
Ilirska Bistrica;Število sob - SKUPAJ;2 osebi;1053
Ilirska Bistrica;Število sob - SKUPAJ;3 osebe;939
Ilirska Bistrica;Število sob - SKUPAJ;4 osebe;845
Ilirska Bistrica;Število sob - SKUPAJ;5 oseb;339
Ilirska Bistrica;Število sob - SKUPAJ;6 oseb;209
Ilirska Bistrica;Število sob - SKUPAJ;7 oseb ali veè;135
Ilirska Bistrica;1 soba;Število oseb -SKUPAJ;259
Ilirska Bistrica;1 soba;1 oseba;129
Ilirska Bistrica;1 soba;2 osebi;50
Ilirska Bistrica;1 soba;3 osebe;35
Ilirska Bistrica;1 soba;4 osebe;25
Ilirska Bistrica;1 soba;5 oseb;11
Ilirska Bistrica;1 soba;6 oseb;4
Ilirska Bistrica;1 soba;7 oseb ali veè;5
Ilirska Bistrica;2 sobi;Število oseb -SKUPAJ;988
Ilirska Bistrica;2 sobi;1 oseba;345
Ilirska Bistrica;2 sobi;2 osebi;269
Ilirska Bistrica;2 sobi;3 osebe;174
Ilirska Bistrica;2 sobi;4 osebe;127
Ilirska Bistrica;2 sobi;5 oseb;40
Ilirska Bistrica;2 sobi;6 oseb;19
Ilirska Bistrica;2 sobi;7 oseb ali veè;14
Ilirska Bistrica;3 sobe;Število oseb -SKUPAJ;1726
Ilirska Bistrica;3 sobe;1 oseba;424
Ilirska Bistrica;3 sobe;2 osebi;415
Ilirska Bistrica;3 sobe;3 osebe;363
Ilirska Bistrica;3 sobe;4 osebe;313
Ilirska Bistrica;3 sobe;5 oseb;109
Ilirska Bistrica;3 sobe;6 oseb;64
Ilirska Bistrica;3 sobe;7 oseb ali veè;38
Ilirska Bistrica;4 sobe;Število oseb -SKUPAJ;1062
Ilirska Bistrica;4 sobe;1 oseba;171
Ilirska Bistrica;4 sobe;2 osebi;225
Ilirska Bistrica;4 sobe;3 osebe;251
Ilirska Bistrica;4 sobe;4 osebe;236
Ilirska Bistrica;4 sobe;5 oseb;80
Ilirska Bistrica;4 sobe;6 oseb;61
Ilirska Bistrica;4 sobe;7 oseb ali veè;38
Ilirska Bistrica;5 sob ali veè;Število oseb -SKUPAJ;630
Ilirska Bistrica;5 sob ali veè;1 oseba;76
Ilirska Bistrica;5 sob ali veè;2 osebi;94
Ilirska Bistrica;5 sob ali veè;3 osebe;116
Ilirska Bistrica;5 sob ali veè;4 osebe;144
Ilirska Bistrica;5 sob ali veè;5 oseb;99
Ilirska Bistrica;5 sob ali veè;6 oseb;61
Ilirska Bistrica;5 sob ali veè;7 oseb ali veè;40
Ivanèna Gorica;Število sob - SKUPAJ;Število oseb -SKUPAJ;4760
Ivanèna Gorica;Število sob - SKUPAJ;1 oseba;961
Ivanèna Gorica;Število sob - SKUPAJ;2 osebi;923
Ivanèna Gorica;Število sob - SKUPAJ;3 osebe;783
Ivanèna Gorica;Število sob - SKUPAJ;4 osebe;906
Ivanèna Gorica;Število sob - SKUPAJ;5 oseb;531
Ivanèna Gorica;Število sob - SKUPAJ;6 oseb;352
Ivanèna Gorica;Število sob - SKUPAJ;7 oseb ali veè;304
Ivanèna Gorica;1 soba;Število oseb -SKUPAJ;296
Ivanèna Gorica;1 soba;1 oseba;130
Ivanèna Gorica;1 soba;2 osebi;75
Ivanèna Gorica;1 soba;3 osebe;40
Ivanèna Gorica;1 soba;4 osebe;30
Ivanèna Gorica;1 soba;5 oseb;8
Ivanèna Gorica;1 soba;6 oseb;9
Ivanèna Gorica;1 soba;7 oseb ali veè;4
Ivanèna Gorica;2 sobi;Število oseb -SKUPAJ;911
Ivanèna Gorica;2 sobi;1 oseba;309
Ivanèna Gorica;2 sobi;2 osebi;238
Ivanèna Gorica;2 sobi;3 osebe;114
Ivanèna Gorica;2 sobi;4 osebe;127
Ivanèna Gorica;2 sobi;5 oseb;59
Ivanèna Gorica;2 sobi;6 oseb;42
Ivanèna Gorica;2 sobi;7 oseb ali veè;22
Ivanèna Gorica;3 sobe;Število oseb -SKUPAJ;1225
Ivanèna Gorica;3 sobe;1 oseba;268
Ivanèna Gorica;3 sobe;2 osebi;251
Ivanèna Gorica;3 sobe;3 osebe;241
Ivanèna Gorica;3 sobe;4 osebe;238
Ivanèna Gorica;3 sobe;5 oseb;124
Ivanèna Gorica;3 sobe;6 oseb;59
Ivanèna Gorica;3 sobe;7 oseb ali veè;44
Ivanèna Gorica;4 sobe;Število oseb -SKUPAJ;1038
Ivanèna Gorica;4 sobe;1 oseba;149
Ivanèna Gorica;4 sobe;2 osebi;202
Ivanèna Gorica;4 sobe;3 osebe;197
Ivanèna Gorica;4 sobe;4 osebe;235
Ivanèna Gorica;4 sobe;5 oseb;126
Ivanèna Gorica;4 sobe;6 oseb;62
Ivanèna Gorica;4 sobe;7 oseb ali veè;67
Ivanèna Gorica;5 sob ali veè;Število oseb -SKUPAJ;1290
Ivanèna Gorica;5 sob ali veè;1 oseba;105
Ivanèna Gorica;5 sob ali veè;2 osebi;157
Ivanèna Gorica;5 sob ali veè;3 osebe;191
Ivanèna Gorica;5 sob ali veè;4 osebe;276
Ivanèna Gorica;5 sob ali veè;5 oseb;214
Ivanèna Gorica;5 sob ali veè;6 oseb;180
Ivanèna Gorica;5 sob ali veè;7 oseb ali veè;167
Izola/Isola;Število sob - SKUPAJ;Število oseb -SKUPAJ;5728
Izola/Isola;Število sob - SKUPAJ;1 oseba;1735
Izola/Isola;Število sob - SKUPAJ;2 osebi;1381
Izola/Isola;Število sob - SKUPAJ;3 osebe;1076
Izola/Isola;Število sob - SKUPAJ;4 osebe;854
Izola/Isola;Število sob - SKUPAJ;5 oseb;315
Izola/Isola;Število sob - SKUPAJ;6 oseb;190
Izola/Isola;Število sob - SKUPAJ;7 oseb ali veè;177
Izola/Isola;1 soba;Število oseb -SKUPAJ;703
Izola/Isola;1 soba;1 oseba;397
Izola/Isola;1 soba;2 osebi;142
Izola/Isola;1 soba;3 osebe;84
Izola/Isola;1 soba;4 osebe;44
Izola/Isola;1 soba;5 oseb;19
Izola/Isola;1 soba;6 oseb;10
Izola/Isola;1 soba;7 oseb ali veè;7
Izola/Isola;2 sobi;Število oseb -SKUPAJ;1504
Izola/Isola;2 sobi;1 oseba;578
Izola/Isola;2 sobi;2 osebi;405
Izola/Isola;2 sobi;3 osebe;256
Izola/Isola;2 sobi;4 osebe;169
Izola/Isola;2 sobi;5 oseb;51
Izola/Isola;2 sobi;6 oseb;23
Izola/Isola;2 sobi;7 oseb ali veè;22
Izola/Isola;3 sobe;Število oseb -SKUPAJ;1853
Izola/Isola;3 sobe;1 oseba;517
Izola/Isola;3 sobe;2 osebi;499
Izola/Isola;3 sobe;3 osebe;380
Izola/Isola;3 sobe;4 osebe;300
Izola/Isola;3 sobe;5 oseb;92
Izola/Isola;3 sobe;6 oseb;33
Izola/Isola;3 sobe;7 oseb ali veè;32
Izola/Isola;4 sobe;Število oseb -SKUPAJ;968
Izola/Isola;4 sobe;1 oseba;169
Izola/Isola;4 sobe;2 osebi;212
Izola/Isola;4 sobe;3 osebe;216
Izola/Isola;4 sobe;4 osebe;215
Izola/Isola;4 sobe;5 oseb;73
Izola/Isola;4 sobe;6 oseb;50
Izola/Isola;4 sobe;7 oseb ali veè;33
Izola/Isola;5 sob ali veè;Število oseb -SKUPAJ;700
Izola/Isola;5 sob ali veè;1 oseba;74
Izola/Isola;5 sob ali veè;2 osebi;123
Izola/Isola;5 sob ali veè;3 osebe;140
Izola/Isola;5 sob ali veè;4 osebe;126
Izola/Isola;5 sob ali veè;5 oseb;80
Izola/Isola;5 sob ali veè;6 oseb;74
Izola/Isola;5 sob ali veè;7 oseb ali veè;83
Jesenice;Število sob - SKUPAJ;Število oseb -SKUPAJ;7412
Jesenice;Število sob - SKUPAJ;1 oseba;1822
Jesenice;Število sob - SKUPAJ;2 osebi;1953
Jesenice;Število sob - SKUPAJ;3 osebe;1507
Jesenice;Število sob - SKUPAJ;4 osebe;1197
Jesenice;Število sob - SKUPAJ;5 oseb;486
Jesenice;Število sob - SKUPAJ;6 oseb;262
Jesenice;Število sob - SKUPAJ;7 oseb ali veè;185
Jesenice;1 soba;Število oseb -SKUPAJ;1049
Jesenice;1 soba;1 oseba;517
Jesenice;1 soba;2 osebi;267
Jesenice;1 soba;3 osebe;141
Jesenice;1 soba;4 osebe;81
Jesenice;1 soba;5 oseb;30
Jesenice;1 soba;6 oseb;7
Jesenice;1 soba;7 oseb ali veè;6
Jesenice;2 sobi;Število oseb -SKUPAJ;2914
Jesenice;2 sobi;1 oseba;767
Jesenice;2 sobi;2 osebi;898
Jesenice;2 sobi;3 osebe;647
Jesenice;2 sobi;4 osebe;416
Jesenice;2 sobi;5 oseb;107
Jesenice;2 sobi;6 oseb;51
Jesenice;2 sobi;7 oseb ali veè;28
Jesenice;3 sobe;Število oseb -SKUPAJ;1923
Jesenice;3 sobe;1 oseba;366
Jesenice;3 sobe;2 osebi;493
Jesenice;3 sobe;3 osebe;448
Jesenice;3 sobe;4 osebe;378
Jesenice;3 sobe;5 oseb;147
Jesenice;3 sobe;6 oseb;56
Jesenice;3 sobe;7 oseb ali veè;35
Jesenice;4 sobe;Število oseb -SKUPAJ;686
Jesenice;4 sobe;1 oseba;106
Jesenice;4 sobe;2 osebi;160
Jesenice;4 sobe;3 osebe;138
Jesenice;4 sobe;4 osebe;138
Jesenice;4 sobe;5 oseb;62
Jesenice;4 sobe;6 oseb;51
Jesenice;4 sobe;7 oseb ali veè;31
Jesenice;5 sob ali veè;Število oseb -SKUPAJ;840
Jesenice;5 sob ali veè;1 oseba;66
Jesenice;5 sob ali veè;2 osebi;135
Jesenice;5 sob ali veè;3 osebe;133
Jesenice;5 sob ali veè;4 osebe;184
Jesenice;5 sob ali veè;5 oseb;140
Jesenice;5 sob ali veè;6 oseb;97
Jesenice;5 sob ali veè;7 oseb ali veè;85
Jezersko;Število sob - SKUPAJ;Število oseb -SKUPAJ;225
Jezersko;Število sob - SKUPAJ;1 oseba;65
Jezersko;Število sob - SKUPAJ;2 osebi;57
Jezersko;Število sob - SKUPAJ;3 osebe;35
Jezersko;Število sob - SKUPAJ;4 osebe;28
Jezersko;Število sob - SKUPAJ;5 oseb;15
Jezersko;Število sob - SKUPAJ;6 oseb;12
Jezersko;Število sob - SKUPAJ;7 oseb ali veè;13
Jezersko;1 soba;Število oseb -SKUPAJ;13
Jezersko;1 soba;1 oseba;5
Jezersko;1 soba;2 osebi;3
Jezersko;1 soba;3 osebe;2
Jezersko;1 soba;4 osebe;2
Jezersko;1 soba;5 oseb;0
Jezersko;1 soba;6 oseb;0
Jezersko;1 soba;7 oseb ali veè;1
Jezersko;2 sobi;Število oseb -SKUPAJ;46
Jezersko;2 sobi;1 oseba;17
Jezersko;2 sobi;2 osebi;12
Jezersko;2 sobi;3 osebe;10
Jezersko;2 sobi;4 osebe;1
Jezersko;2 sobi;5 oseb;3
Jezersko;2 sobi;6 oseb;0
Jezersko;2 sobi;7 oseb ali veè;3
Jezersko;3 sobe;Število oseb -SKUPAJ;57
Jezersko;3 sobe;1 oseba;19
Jezersko;3 sobe;2 osebi;16
Jezersko;3 sobe;3 osebe;7
Jezersko;3 sobe;4 osebe;9
Jezersko;3 sobe;5 oseb;3
Jezersko;3 sobe;6 oseb;1
Jezersko;3 sobe;7 oseb ali veè;2
Jezersko;4 sobe;Število oseb -SKUPAJ;39
Jezersko;4 sobe;1 oseba;10
Jezersko;4 sobe;2 osebi;10
Jezersko;4 sobe;3 osebe;5
Jezersko;4 sobe;4 osebe;9
Jezersko;4 sobe;5 oseb;2
Jezersko;4 sobe;6 oseb;2
Jezersko;4 sobe;7 oseb ali veè;1
Jezersko;5 sob ali veè;Število oseb -SKUPAJ;70
Jezersko;5 sob ali veè;1 oseba;14
Jezersko;5 sob ali veè;2 osebi;16
Jezersko;5 sob ali veè;3 osebe;11
Jezersko;5 sob ali veè;4 osebe;7
Jezersko;5 sob ali veè;5 oseb;7
Jezersko;5 sob ali veè;6 oseb;9
Jezersko;5 sob ali veè;7 oseb ali veè;6
Juršinci;Število sob - SKUPAJ;Število oseb -SKUPAJ;732
Juršinci;Število sob - SKUPAJ;1 oseba;148
Juršinci;Število sob - SKUPAJ;2 osebi;135
Juršinci;Število sob - SKUPAJ;3 osebe;153
Juršinci;Število sob - SKUPAJ;4 osebe;159
Juršinci;Število sob - SKUPAJ;5 oseb;67
Juršinci;Število sob - SKUPAJ;6 oseb;43
Juršinci;Število sob - SKUPAJ;7 oseb ali veè;27
Juršinci;1 soba;Število oseb -SKUPAJ;64
Juršinci;1 soba;1 oseba;31
Juršinci;1 soba;2 osebi;15
Juršinci;1 soba;3 osebe;11
Juršinci;1 soba;4 osebe;5
Juršinci;1 soba;5 oseb;1
Juršinci;1 soba;6 oseb;1
Juršinci;1 soba;7 oseb ali veè;0
Juršinci;2 sobi;Število oseb -SKUPAJ;178
Juršinci;2 sobi;1 oseba;56
Juršinci;2 sobi;2 osebi;43
Juršinci;2 sobi;3 osebe;26
Juršinci;2 sobi;4 osebe;29
Juršinci;2 sobi;5 oseb;15
Juršinci;2 sobi;6 oseb;5
Juršinci;2 sobi;7 oseb ali veè;4
Juršinci;3 sobe;Število oseb -SKUPAJ;258
Juršinci;3 sobe;1 oseba;36
Juršinci;3 sobe;2 osebi;41
Juršinci;3 sobe;3 osebe;69
Juršinci;3 sobe;4 osebe;63
Juršinci;3 sobe;5 oseb;22
Juršinci;3 sobe;6 oseb;18
Juršinci;3 sobe;7 oseb ali veè;9
Juršinci;4 sobe;Število oseb -SKUPAJ;126
Juršinci;4 sobe;1 oseba;13
Juršinci;4 sobe;2 osebi;20
Juršinci;4 sobe;3 osebe;31
Juršinci;4 sobe;4 osebe;37
Juršinci;4 sobe;5 oseb;12
Juršinci;4 sobe;6 oseb;6
Juršinci;4 sobe;7 oseb ali veè;7
Juršinci;5 sob ali veè;Število oseb -SKUPAJ;106
Juršinci;5 sob ali veè;1 oseba;12
Juršinci;5 sob ali veè;2 osebi;16
Juršinci;5 sob ali veè;3 osebe;16
Juršinci;5 sob ali veè;4 osebe;25
