Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
Ankaran/Ancarano;2 sobi;2 osebi;76
Ankaran/Ancarano;2 sobi;3 osebe;59
Ankaran/Ancarano;2 sobi;4 osebe;32
Ankaran/Ancarano;2 sobi;5 oseb;7
Ankaran/Ancarano;2 sobi;6 oseb;3
Ankaran/Ancarano;2 sobi;7 oseb ali veè;2
Ankaran/Ancarano;3 sobe;Število oseb -SKUPAJ;317
Ankaran/Ancarano;3 sobe;1 oseba;92
Ankaran/Ancarano;3 sobe;2 osebi;68
Ankaran/Ancarano;3 sobe;3 osebe;83
Ankaran/Ancarano;3 sobe;4 osebe;37
Ankaran/Ancarano;3 sobe;5 oseb;21
Ankaran/Ancarano;3 sobe;6 oseb;9
Ankaran/Ancarano;3 sobe;7 oseb ali veè;7
Ankaran/Ancarano;4 sobe;Število oseb -SKUPAJ;185
Ankaran/Ancarano;4 sobe;1 oseba;35
Ankaran/Ancarano;4 sobe;2 osebi;47
Ankaran/Ancarano;4 sobe;3 osebe;31
Ankaran/Ancarano;4 sobe;4 osebe;36
Ankaran/Ancarano;4 sobe;5 oseb;18
Ankaran/Ancarano;4 sobe;6 oseb;11
Ankaran/Ancarano;4 sobe;7 oseb ali veè;7
Ankaran/Ancarano;5 sob ali veè;Število oseb -SKUPAJ;191
Ankaran/Ancarano;5 sob ali veè;1 oseba;29
Ankaran/Ancarano;5 sob ali veè;2 osebi;44
Ankaran/Ancarano;5 sob ali veè;3 osebe;30
Ankaran/Ancarano;5 sob ali veè;4 osebe;29
Ankaran/Ancarano;5 sob ali veè;5 oseb;27
Ankaran/Ancarano;5 sob ali veè;6 oseb;19
Ankaran/Ancarano;5 sob ali veè;7 oseb ali veè;13
Apaèe;Število sob - SKUPAJ;Število oseb -SKUPAJ;1161
Apaèe;Število sob - SKUPAJ;1 oseba;213
Apaèe;Število sob - SKUPAJ;2 osebi;282
Apaèe;Število sob - SKUPAJ;3 osebe;249
Apaèe;Število sob - SKUPAJ;4 osebe;209
Apaèe;Število sob - SKUPAJ;5 oseb;103
Apaèe;Število sob - SKUPAJ;6 oseb;58
Apaèe;Število sob - SKUPAJ;7 oseb ali veè;47
Apaèe;1 soba;Število oseb -SKUPAJ;51
Apaèe;1 soba;1 oseba;20
Apaèe;1 soba;2 osebi;13
Apaèe;1 soba;3 osebe;9
Apaèe;1 soba;4 osebe;6
Apaèe;1 soba;5 oseb;1
Apaèe;1 soba;6 oseb;0
Apaèe;1 soba;7 oseb ali veè;2
Apaèe;2 sobi;Število oseb -SKUPAJ;289
Apaèe;2 sobi;1 oseba;91
Apaèe;2 sobi;2 osebi;92
Apaèe;2 sobi;3 osebe;51
Apaèe;2 sobi;4 osebe;28
Apaèe;2 sobi;5 oseb;13
Apaèe;2 sobi;6 oseb;8
Apaèe;2 sobi;7 oseb ali veè;6
Apaèe;3 sobe;Število oseb -SKUPAJ;389
Apaèe;3 sobe;1 oseba;62
Apaèe;3 sobe;2 osebi;107
Apaèe;3 sobe;3 osebe;102
Apaèe;3 sobe;4 osebe;52
Apaèe;3 sobe;5 oseb;32
Apaèe;3 sobe;6 oseb;24
Apaèe;3 sobe;7 oseb ali veè;10
Apaèe;4 sobe;Število oseb -SKUPAJ;208
Apaèe;4 sobe;1 oseba;23
Apaèe;4 sobe;2 osebi;41
Apaèe;4 sobe;3 osebe;47
Apaèe;4 sobe;4 osebe;55
Apaèe;4 sobe;5 oseb;26
Apaèe;4 sobe;6 oseb;6
Apaèe;4 sobe;7 oseb ali veè;10
Apaèe;5 sob ali veè;Število oseb -SKUPAJ;224
Apaèe;5 sob ali veè;1 oseba;17
Apaèe;5 sob ali veè;2 osebi;29
Apaèe;5 sob ali veè;3 osebe;40
Apaèe;5 sob ali veè;4 osebe;68
Apaèe;5 sob ali veè;5 oseb;31
Apaèe;5 sob ali veè;6 oseb;20
Apaèe;5 sob ali veè;7 oseb ali veè;19
Beltinci;Število sob - SKUPAJ;Število oseb -SKUPAJ;2454
Beltinci;Število sob - SKUPAJ;1 oseba;400
Beltinci;Število sob - SKUPAJ;2 osebi;491
Beltinci;Število sob - SKUPAJ;3 osebe;522
Beltinci;Število sob - SKUPAJ;4 osebe;460
Beltinci;Število sob - SKUPAJ;5 oseb;296
Beltinci;Število sob - SKUPAJ;6 oseb;181
Beltinci;Število sob - SKUPAJ;7 oseb ali veè;104
Beltinci;1 soba;Število oseb -SKUPAJ;62
Beltinci;1 soba;1 oseba;29
Beltinci;1 soba;2 osebi;12
Beltinci;1 soba;3 osebe;11
Beltinci;1 soba;4 osebe;5
Beltinci;1 soba;5 oseb;3
Beltinci;1 soba;6 oseb;0
Beltinci;1 soba;7 oseb ali veè;2
Beltinci;2 sobi;Število oseb -SKUPAJ;379
Beltinci;2 sobi;1 oseba;137
Beltinci;2 sobi;2 osebi;96
Beltinci;2 sobi;3 osebe;69
Beltinci;2 sobi;4 osebe;40
Beltinci;2 sobi;5 oseb;21
Beltinci;2 sobi;6 oseb;7
Beltinci;2 sobi;7 oseb ali veè;9
Beltinci;3 sobe;Število oseb -SKUPAJ;678
Beltinci;3 sobe;1 oseba;123
Beltinci;3 sobe;2 osebi;172
Beltinci;3 sobe;3 osebe;153
